ID1,ID2,Similarity
366,20861,1.0
382,8034,1.0
383,8035,1.0
384,8036,0.7833333333333333
385,8037,1.0
386,8038,1.0
387,8039,1.0
388,8040,1.0
389,8041,0.8333333333333334
390,8042,1.0
391,8043,1.0
392,8044,0.725
393,8045,0.8
394,8046,0.8583333333333333
395,8047,0.7166666666666667
396,8048,1.0
441,11623,0.8416666666666667
442,11624,0.6166666666666667
443,11625,0.8166666666666667
444,11626,1.0
445,11627,1.0
446,11628,1.0
447,11629,0.85
448,11630,1.0
502,13334,1.0
503,13335,1.0
504,13336,0.7666666666666667
505,13337,1.0
506,13338,1.0
507,13339,1.0
508,13340,1.0
509,13341,0.7583333333333333
510,13342,1.0
511,13343,0.7583333333333333
512,13344,1.0
513,13345,0.7666666666666667
514,13346,1.0
515,13347,1.0
516,13348,1.0
517,13349,1.0
518,13350,1.0
519,13351,1.0
520,13352,1.0
521,13353,0.875
522,13354,1.0
523,13355,1.0
524,9652,1.0
525,9653,1.0
526,9654,0.85
527,9655,1.0
528,9656,0.7833333333333333
529,9657,1.0
530,9658,1.0
531,9659,1.0
532,9660,1.0
533,9661,0.875
534,9662,1.0
535,9663,1.0
536,9664,0.7166666666666667
537,9665,1.0
538,9666,1.0
539,9667,0.9
540,9668,1.0
541,9669,0.6833333333333333
542,9670,1.0
543,9671,1.0
544,9672,1.0
642,11421,0.4583333333333333
643,11422,0.75
644,11423,1.0
645,11424,0.5916666666666667
646,11425,1.0
647,11426,0.9083333333333333
648,11427,1.0
649,11428,1.0
714,15022,0.675
715,15023,0.8916666666666667
716,15024,1.0
717,15025,1.0
718,15026,0.675
719,15027,1.0
720,15028,0.825
721,15029,1.0
722,15030,1.0
723,15031,1.0
724,15032,0.6916666666666667
725,15033,0.5916666666666667
726,15034,0.6333333333333333
727,15035,1.0
728,15036,1.0
731,2196,1.0
2211,9864,0.925
2212,9865,1.0
2213,9866,0.8166666666666667
2214,9867,0.8833333333333333
2215,9868,1.0
2216,9869,1.0
2217,9870,0.7
2218,9871,0.7416666666666667
2219,9872,1.0
2220,9873,1.0
2221,9874,1.0
2222,9875,1.0
2223,9876,0.925
2224,9877,0.875
2225,9878,1.0
2271,13453,0.7083333333333334
2272,13454,0.7416666666666667
2273,13455,0.8666666666666667
2274,13456,0.8583333333333333
2275,13457,1.0
2276,13458,0.8
2277,13459,0.9166666666666666
2278,13460,0.775
2332,15164,1.0
2333,15165,1.0
2334,15166,1.0
2335,15167,1.0
2336,15168,0.875
2337,15169,1.0
2338,15170,1.0
2339,15171,1.0
2340,15172,0.975
2341,15173,0.7166666666666667
2342,15174,1.0
2343,15175,0.7
2344,15176,1.0
2345,15177,1.0
2346,15178,1.0
2347,15179,0.9333333333333333
2348,15180,1.0
2349,15181,1.0
2350,15182,1.0
2351,15183,0.8333333333333334
2352,15184,0.9333333333333333
2353,11482,0.9
2354,11483,0.6916666666666667
2355,11484,0.7166666666666667
2356,11485,0.7166666666666667
2357,11486,0.925
2358,11487,1.0
2359,11488,1.0
2360,11489,1.0
2361,11490,1.0
2362,11491,1.0
2363,11492,1.0
2364,11493,1.0
2365,11494,0.85
2366,11495,0.875
2367,11496,1.0
2368,11497,1.0
2369,11498,1.0
2370,11499,0.7416666666666667
2371,11500,1.0
2372,11501,0.7416666666666667
2373,11502,1.0
2374,11503,1.0
2472,13251,0.6916666666666667
2473,13252,1.0
2474,13253,0.8666666666666667
2475,13254,0.9
2476,13255,0.7833333333333333
2477,13256,0.675
2478,13257,0.9166666666666666
2479,13258,0.8916666666666667
2544,16852,1.0
2545,16853,1.0
2546,16854,0.6166666666666667
2547,16855,1.0
2548,16856,0.7583333333333333
2549,16857,1.0
2550,16858,0.7833333333333333
2551,16859,0.8083333333333333
2552,16860,1.0
2553,16861,1.0
2554,16862,1.0
2555,16863,0.725
2556,16864,0.9416666666666667
2557,16865,0.6916666666666667
2558,16866,0.9
2561,4026,1.0
4041,11694,0.6333333333333333
4042,11695,1.0
4043,11696,0.9166666666666666
4044,11697,1.0
4045,11698,1.0
4046,11699,1.0
4047,11700,0.35
4048,11701,0.7416666666666667
4049,11702,1.0
4050,11703,1.0
4051,11704,1.0
4052,11705,1.0
4053,11706,0.8416666666666667
4054,11707,0.825
4055,11708,0.75
4101,15283,0.65
4102,15284,1.0
4103,15285,0.8666666666666667
4104,15286,0.9
4105,15287,0.8666666666666667
4106,15288,0.65
4107,15289,1.0
4108,15290,0.925
4162,16994,1.0
4163,16995,1.0
4164,16996,0.85
4165,16997,0.875
4166,16998,1.0
4167,16999,1.0
4168,17000,1.0
4169,17001,0.8333333333333334
4170,17002,1.0
4171,17003,0.6583333333333333
4172,17004,1.0
4173,17005,1.0
4174,17006,0.8166666666666667
4175,17007,1.0
4176,17008,1.0
4177,17009,1.0
4178,17010,1.0
4179,17011,1.0
4180,17012,1.0
4181,17013,1.0
4182,17014,1.0
4183,13312,1.0
4184,13313,1.0
4185,13314,1.0
4186,13315,1.0
4187,13316,1.0
4188,13317,1.0
4189,13318,1.0
4190,13319,1.0
4191,13320,1.0
4192,13321,1.0
4193,13322,1.0
4194,13323,1.0
4195,13324,1.0
4196,13325,1.0
4197,13326,1.0
4198,13327,1.0
4199,13328,1.0
4200,13329,1.0
4201,13330,1.0
4202,13331,1.0
4203,13332,1.0
4204,13333,1.0
4302,15081,0.725
4303,15082,0.6083333333333333
4304,15083,1.0
4305,15084,0.75
4306,15085,0.8
4307,15086,0.925
4308,15087,0.6916666666666667
4309,15088,0.8916666666666667
4374,18682,0.4666666666666667
4375,18683,1.0
4376,18684,1.0
4377,18685,1.0
4378,18686,0.75
4379,18687,1.0
4380,18688,0.5416666666666666
4381,18689,0.5666666666666667
4382,18690,1.0
4383,18691,1.0
4384,18692,1.0
4385,18693,1.0
4386,18694,0.55
4387,18695,1.0
4388,18696,0.5166666666666667
4391,5856,1.0
5871,13524,1.0
5872,13525,0.9416666666666667
5873,13526,1.0
5874,13527,1.0
5875,13528,1.0
5876,13529,1.0
